Vdc,Cp,Rp
25,5.30828E-011,5990190
24.9,5.30821E-011,5741710
24.8,5.30819E-011,5850400
24.7,5.30841E-011,5943410
24.6,5.30835E-011,5977990
24.5,5.30892E-011,5683210
24.4,5.30821E-011,5540650
24.3,5.30837E-011,5451470
24.2,5.30833E-011,5617230
24.1,5.3087E-011,5851990
24,5.30873E-011,5747550
23.9,5.30854E-011,6029620
23.8,5.30857E-011,5961360
23.7,5.30805E-011,6138880
23.6,5.30872E-011,5944170
23.5,5.30834E-011,5814670
23.4,5.30878E-011,5811510
23.3,5.30836E-011,5886610
23.2,5.30831E-011,5999380
23.1,5.30869E-011,5939860
23,5.30841E-011,5881200
22.9,5.30856E-011,5903290
22.8,5.30817E-011,6060760
22.7,5.30835E-011,6068250
22.6,5.30838E-011,6067660
22.5,5.30831E-011,6078180
22.4,5.3081E-011,6055680
22.3,5.30851E-011,6160850
22.2,5.30833E-011,6264790
22.1,5.30851E-011,6363860
22,5.30855E-011,6608970
21.9,5.30839E-011,6656900
21.8,5.30858E-011,6419280
21.7,5.30841E-011,6319570
21.6,5.30858E-011,6418430
21.5,5.3082E-011,6546270
21.4,5.30852E-011,6634060
21.3,5.30843E-011,6814020
21.2,5.30815E-011,6784890
21.1,5.30832E-011,6811340
21,5.30848E-011,6723550
20.9,5.30806E-011,6758740
20.8,5.30829E-011,6952070
20.7,5.30811E-011,6869190
20.6,5.30821E-011,6913160
20.5,5.30821E-011,7097960
20.4,5.30826E-011,7050140
20.3,5.30843E-011,7054120
20.2,5.3082E-011,7181320
20.1,5.30812E-011,7191350
20,5.30821E-011,7318970
19.9,5.30803E-011,7381850
19.8,5.3082E-011,7364710
19.7,5.30791E-011,7290990
19.6,5.30821E-011,7271830
19.5,5.30781E-011,7321860
19.4,5.30787E-011,7377220
19.3,5.30809E-011,7440250
19.2,5.30814E-011,7482090
19.1,5.30812E-011,7612560
19,5.30804E-011,7615440
18.9,5.30784E-011,7646470
18.8,5.308E-011,7669220
18.7,5.30794E-011,7656450
18.6,5.30792E-011,7680480
18.5,5.30793E-011,7636300
18.4,5.30785E-011,7704810
18.3,5.30798E-011,7706070
18.2,5.30788E-011,7735670
18.1,5.30796E-011,7748120
18,5.30783E-011,7811070
17.9,5.30774E-011,7823150
17.8,5.30794E-011,7886820
17.7,5.30783E-011,7834300
17.6,5.30775E-011,7958610
17.5,5.30774E-011,8004500
17.4,5.3076E-011,8028350
17.3,5.30779E-011,8066800
17.2,5.30772E-011,8059340
17.1,5.30787E-011,8111430
17,5.30764E-011,8180860
16.9,5.30759E-011,8184470
16.8,5.30756E-011,8219570
16.7,5.30761E-011,8245590
16.6,5.30757E-011,8283200
16.5,5.30755E-011,8246280
16.4,5.3075E-011,8247360
16.3,5.30751E-011,8267670
16.2,5.30754E-011,8260520
16.1,5.30748E-011,8311330
16,5.30751E-011,8304990
15.9,5.3074E-011,8318490
15.8,5.30752E-011,8332490
15.7,5.30741E-011,8389320
15.6,5.3075E-011,8399160
15.5,5.30736E-011,8405620
15.4,5.30742E-011,8442890
15.3,5.30735E-011,8495350
15.2,5.30735E-011,8526130
15.1,5.30731E-011,8544240
15,5.30719E-011,8544320
14.9,5.30719E-011,8546540
14.8,5.3072E-011,8554900
14.7,5.30721E-011,8579230
14.6,5.30713E-011,8619580
14.5,5.30718E-011,8633410
14.4,5.30716E-011,8678730
14.3,5.30707E-011,8699430
14.2,5.30705E-011,8721420
14.1,5.30707E-011,8738380
14,5.307E-011,8756290
13.9,5.30701E-011,8779500
13.8,5.30693E-011,8812270
13.7,5.30692E-011,8837620
13.6,5.30684E-011,8861550
13.5,5.30679E-011,8894580
13.4,5.30682E-011,8910910
13.3,5.30676E-011,8938100
13.2,5.30673E-011,8954490
13.1,5.30671E-011,8980340
13,5.30666E-011,9001900
12.9,5.30663E-011,9039770
12.8,5.30661E-011,9041110
12.7,5.3065E-011,9047800
12.6,5.30654E-011,9071780
12.5,5.3065E-011,9075350
12.4,5.30648E-011,9079690
12.3,5.30641E-011,9103410
12.2,5.30638E-011,9117710
12.1,5.30636E-011,9125740
12,5.30637E-011,9134000
11.9,5.30619E-011,9159280
11.8,5.30626E-011,9164090
11.7,5.3062E-011,9178930
11.6,5.30615E-011,9214220
11.5,5.30606E-011,9220030
11.4,5.30601E-011,9232690
11.3,5.30593E-011,9243180
11.2,5.30592E-011,9267520
11.1,5.30587E-011,9276210
11,5.3058E-011,9277480
10.9,5.3058E-011,9287660
10.8,5.30569E-011,9304150
10.7,5.30571E-011,9330330
10.6,5.30564E-011,9344490
10.5,5.30553E-011,9353900
10.4,5.3055E-011,9364620
10.3,5.30542E-011,9375600
10.2,5.30539E-011,9394000
10.1,5.30529E-011,9390730
10,5.30528E-011,9411680
9.9,5.30517E-011,9430160
9.8,5.30518E-011,9449950
9.7,5.30502E-011,9459290
9.6,5.30493E-011,9468010
9.5,5.30487E-011,9473150
9.4,5.3048E-011,9484220
9.3,5.30471E-011,9494070
9.2,5.30466E-011,9503720
9.1,5.30452E-011,9521110
9,5.30448E-011,9524660
8.9,5.30447E-011,9529570
8.8,5.30434E-011,9538380
8.7,5.30422E-011,9541350
8.6,5.30418E-011,9557550
8.5,5.30407E-011,9563090
8.4,5.30395E-011,9574260
8.3,5.30391E-011,9583540
8.2,5.3038E-011,9589330
8.1,5.30369E-011,9592320
8,5.30356E-011,9599770
7.9,5.30347E-011,9606220
7.8,5.30335E-011,9618450
7.7,5.30324E-011,9627250
7.6,5.30309E-011,9641330
7.5,5.30309E-011,9640580
7.4,5.30291E-011,9655110
7.3,5.30275E-011,9659660
7.2,5.30258E-011,9669390
7.1,5.30248E-011,9677760
7,5.30233E-011,9683150
6.9,5.30224E-011,9691660
6.8,5.30206E-011,9698420
6.7,5.30195E-011,9708190
6.6,5.30176E-011,9733080
6.5,5.30159E-011,9742700
6.4,5.30143E-011,9743590
6.3,5.30127E-011,9755660
6.2,5.30107E-011,9760170
6.1,5.30094E-011,9771910
6,5.30071E-011,9776740
5.9,5.30057E-011,9784070
5.8,5.30037E-011,9788510
5.7,5.30018E-011,9794970
5.6,5.29996E-011,9810270
5.5,5.29974E-011,9812230
5.4,5.29949E-011,9816820
5.3,5.29924E-011,9823110
5.2,5.29897E-011,9818760
5.1,5.29875E-011,9821230
5,5.29847E-011,9839430
4.9,5.29815E-011,9848770
4.8,5.2979E-011,9857750
4.7,5.29759E-011,9869790
4.6,5.29733E-011,9887510
4.5,5.29702E-011,9896610
4.4,5.29663E-011,9907880
4.3,5.29627E-011,9910540
4.2,5.29592E-011,9919000
4.1,5.29557E-011,9926560
4,5.29516E-011,9936150
3.9,5.29474E-011,9939830
3.8,5.29437E-011,9954820
3.7,5.29391E-011,9967990
3.6,5.2934E-011,9985220
3.5,5.29297E-011,9994940
3.4,5.29237E-011,10029000
3.3,5.29184E-011,10035300
3.2,5.29129E-011,10022700
3.1,5.29066E-011,10030200
3,5.29007E-011,10043700
2.9,5.28938E-011,10064600
2.8,5.28864E-011,10066500
2.7,5.28795E-011,10085700
2.6,5.2872E-011,10097700
2.5,5.28629E-011,10110600
2.4,5.28536E-011,10128200
2.3,5.28444E-011,10137300
2.2,5.2834E-011,10148500
2.1,5.28232E-011,10170400
2,5.28119E-011,10193800
1.9,5.27989E-011,10210800
1.8,5.27859E-011,10224100
1.7,5.27712E-011,10245900
1.6,5.27563E-011,10263200
1.5,5.27393E-011,10276300
1.4,5.27213E-011,10290600
1.3,5.27015E-011,10302000
1.2,5.26799E-011,10320900
1.1,5.2656E-011,10334200
1,5.26303E-011,10348400
0.9,5.26019E-011,10368000
0.8,5.25708E-011,10375900
0.7,5.25351E-011,10392500
0.6,5.24974E-011,10412100
0.5,5.24528E-011,10431400
0.4,5.24033E-011,10447200
0.3,5.23483E-011,10472500
0.2,5.22846E-011,10494900
0.1,5.22117E-011,10520300
0,5.2128E-011,10552100
-0.1,5.20315E-011,10592100
-0.2,5.19179E-011,10635400
-0.3,5.1785E-011,10687800
-0.4,5.16305E-011,10746000
-0.5,5.1449E-011,10828200
-0.6,5.12371E-011,10917400
-0.7,5.09942E-011,11023900
-0.8,5.07196E-011,11137900
-0.9,5.04187E-011,11270500
-1,5.01039E-011,11407700
-1.1,4.97898E-011,11553900
-1.2,4.9495E-011,11676300
-1.3,4.92368E-011,11793500
-1.4,4.90223E-011,11878300
-1.5,4.88525E-011,11945200
-1.6,4.87244E-011,11989600
-1.7,4.86268E-011,12019000
-1.8,4.8556E-011,12032900
-1.9,4.85023E-011,12042100
-2,4.84628E-011,12050700
-2.1,4.84325E-011,12049400
-2.2,4.84081E-011,12062100
-2.3,4.83902E-011,12063300
-2.4,4.83757E-011,12072000
-2.5,4.83638E-011,12081600
-2.6,4.83548E-011,12093600
-2.7,4.83471E-011,12105400
-2.8,4.83401E-011,12116800
-2.9,4.83353E-011,12129300
-3,4.83307E-011,12142100
-3.1,4.83266E-011,12155000
-3.2,4.83229E-011,12159400
-3.3,4.83203E-011,12164100
-3.4,4.83181E-011,12175700
-3.5,4.8316E-011,12182000
-3.6,4.83132E-011,12189900
-3.7,4.83119E-011,12194400
-3.8,4.83098E-011,12196000
-3.9,4.83082E-011,12204700
-4,4.83071E-011,12211100
-4.1,4.83054E-011,12206600
-4.2,4.83048E-011,12217700
-4.3,4.83034E-011,12207800
-4.4,4.83028E-011,12210200
-4.5,4.83018E-011,12213200
-4.6,4.83007E-011,12213700
-4.7,4.82992E-011,12211100
-4.8,4.82987E-011,12205600
-4.9,4.82975E-011,12202500
-5,4.82968E-011,12209800
-5.1,4.82971E-011,12225400
-5.2,4.82964E-011,12225100
-5.3,4.82956E-011,12210800
-5.4,4.82949E-011,12204200
-5.5,4.8295E-011,12202200
-5.6,4.8294E-011,12207000
-5.7,4.82933E-011,12201500
-5.8,4.82932E-011,12200800
-5.9,4.82921E-011,12190000
-6,4.82927E-011,12205700
-6.1,4.82914E-011,12221100
-6.2,4.8291E-011,12221000
-6.3,4.82903E-011,12219500
-6.4,4.82902E-011,12213500
-6.5,4.82895E-011,12211300
-6.6,4.829E-011,12205000
-6.7,4.82887E-011,12196600
-6.8,4.82887E-011,12191400
-6.9,4.8288E-011,12192100
-7,4.82872E-011,12190200
-7.1,4.82876E-011,12187800
-7.2,4.82869E-011,12184100
-7.3,4.82871E-011,12171300
-7.4,4.82857E-011,12189500
-7.5,4.82858E-011,12272300
-7.6,4.82855E-011,12284000
-7.7,4.82859E-011,12267100
-7.8,4.82849E-011,12272300
-7.9,4.82847E-011,12278700
-8,4.82847E-011,12248600
-8.1,4.82844E-011,12254000
-8.2,4.82829E-011,12246600
-8.3,4.82832E-011,12248900
-8.4,4.82831E-011,12222400
-8.5,4.82828E-011,12231400
-8.6,4.82825E-011,12250300
-8.7,4.8282E-011,12249400
-8.8,4.82819E-011,12244100
-8.9,4.82817E-011,12257800
-9,4.82814E-011,12257600
-9.1,4.82814E-011,12253500
-9.2,4.82806E-011,12251700
-9.3,4.82808E-011,12223000
-9.4,4.82808E-011,12229100
-9.5,4.82804E-011,12199700
-9.6,4.82805E-011,12182700
-9.7,4.82796E-011,12203400
-9.8,4.82798E-011,12186800
-9.9,4.82794E-011,12205000
-10,4.82795E-011,12165500
-10.1,4.82792E-011,12170600
-10.2,4.82792E-011,12173300
-10.3,4.8279E-011,12164600
-10.4,4.82781E-011,12157400
-10.5,4.82783E-011,12169700
-10.6,4.82783E-011,12159500
-10.7,4.82782E-011,12155400
-10.8,4.8277E-011,12145300
-10.9,4.82775E-011,12160700
-11,4.82777E-011,12165200
-11.1,4.82772E-011,12139500
-11.2,4.82773E-011,12150000
-11.3,4.82771E-011,12184300
-11.4,4.82767E-011,12154200
-11.5,4.8276E-011,12158900
-11.6,4.82766E-011,12094600
-11.7,4.82764E-011,12094600
-11.8,4.82761E-011,12043900
-11.9,4.82756E-011,12040800
-12,4.82766E-011,12087200
-12.1,4.82764E-011,12096100
-12.2,4.82755E-011,12123700
-12.3,4.82757E-011,12071500
-12.4,4.8276E-011,11994900
-12.5,4.82755E-011,12078000
-12.6,4.82761E-011,12027200
-12.7,4.8276E-011,12089400
-12.8,4.82763E-011,12029000
-12.9,4.82753E-011,12042000
-13,4.82752E-011,11880300
-13.1,4.82749E-011,11760400
-13.2,4.82753E-011,11869800
-13.3,4.82754E-011,11844900
-13.4,4.8275E-011,11874400
-13.5,4.82753E-011,11821900
-13.6,4.82758E-011,11836000
-13.7,4.82746E-011,11916200
-13.8,4.82747E-011,11884500
-13.9,4.82751E-011,11691600
-14,4.82749E-011,11641500
-14.1,4.82749E-011,11654800
-14.2,4.82756E-011,11729200
-14.3,4.82747E-011,11655000
-14.4,4.82751E-011,11665000
-14.5,4.82749E-011,11635700
-14.6,4.82751E-011,11686500
-14.7,4.82751E-011,11660800
-14.8,4.82751E-011,11649300
-14.9,4.82754E-011,11618900
-15,4.82755E-011,11657800
